Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Ritharrngu,Definitely endangered,66,-13.1543,134.8242,Australia
Northern Straits Salish,Critically endangered,65,48.488,-122.6363,United States of America
Sumariup,Severely endangered,65,-4.7,143.3,Papua New Guinea
Ixil (Mexico),Critically endangered,64,19.508,-89.3188,Mexico
Orok,Critically endangered,64,52.3437,143.0557,Russia
Carapana (Brazil),Severely endangered,63,-3.0966,-65.061,Brazil
Yan-nhangu,Definitely endangered,61,-12.094,134.89,Australia
Atemble,Definitely endangered,60,-5.1292,144.7421,Papua New Guinea
Bagupi,Definitely endangered,60,-5.0454,145.5822,Papua New Guinea
Carapana (Colombia),Definitely endangered,60,0.9337,-70.8178,Colombia
Gooniyandi,Severely endangered,60,-18.8335,125.9912,Australia
Gurrgoni,Vulnerable,60,-12.1037,134.3408,Australia
Kija,Severely endangered,60,-18.0832,128.1884,Australia
Montana Salish,Critically endangered,60,47.5944,-114.1182,United States of America
Ngangikurunggurr,Severely endangered,60,-14.6792,130.3967,Australia
Olultecan,Severely endangered,60,17.9277,-94.8969,Mexico
Senaya,Critically endangered,60,36.2664,50.0042,Iran
Tahltan,Critically endangered,60,57.8451,-129.9745,Canada
Tembé,Severely endangered,60,-2.6467,-46.7248,Brazil
Mosimo,Severely endangered,58,-4.9473,145.5551,Papua New Guinea
Tapayuna,Severely endangered,58,-10.5559,-53.0639,Brazil
Bepour,Severely endangered,57,-4.586,145.4184,Papua New Guinea
Faita,Severely endangered,57,-5.657,145.5001,Papua New Guinea
Teribe (Costa Rica),Critically endangered,57,9.0593,-83.2876,Costa Rica
Kiliwa,Critically endangered,56,31.25,-115.6166,Mexico
Moere,Severely endangered,56,-4.6038,145.437,Papua New Guinea
Baure,Critically endangered,55,-13.1008,-64.5007,Bolivia
Southern Haida,Critically endangered,55,53.2697,-131.9861,Canada
Tlingit (Canada),Critically endangered,55,60.171,-132.7395,Canada
Upper Tanana (United States of America),Critically endangered,55,62.6867,-141.2182,United States of America
Zapotec of Asunción Tlacolulita,Critically endangered,53,16.3,-95.7166,Mexico
Trumai,Critically endangered,51,-11.8807,-53.6009,Brazil
Arabela,Severely endangered,50,-1.5818,-75.3881,Peru
Arha,Critically endangered,50,-21.3047,165.0146,New Caledonia
Banjima,Severely endangered,50,-22.289,119.3774,Australia
Bella Coola,Critically endangered,50,52.3823,-126.7255,Canada
Budong-Budong,Critically endangered,50,-2.0601,119.3074,Indonesia
Bulgebi,Definitely endangered,50,-5.7485,146.4532,Papua New Guinea
Chiquitano (Brazil),Critically endangered,50,-17.4345,-58.0627,Brazil
Forest Yukagir,Critically endangered,50,65.4936,151.0757,Russia
Gorovu,Severely endangered,50,-4.5,144.6,Papua New Guinea
Iduh (Lao PDR),Critically endangered,50,19.3292,103.3758,Laos
Karaim (Lithuania),Severely endangered,50,54.642,24.9499,Lithuania
Kasong,Critically endangered,50,12.564,102.529,"Cambodia, Thailand"
Kayupulau,Critically endangered,50,-2.5464,140.725,Indonesia
Lolak,Critically endangered,50,0.8569,124.0081,Indonesia
Maku'a,Critically endangered,50,-8.4017,127.2271,Timor-Leste
Makurap,Severely endangered,50,-12.1682,-63.0285,Brazil
Miriwoong,Critically endangered,50,-16.7631,128.9025,Australia
Moraori,Severely endangered,50,-8.7113,140.7128,Indonesia
Nakkara,Severely endangered,50,-12.1145,134.5825,Australia
Ngarinman,Severely endangered,50,-16.6782,129.7485,Australia
Norfolk-Pitcairn (Pitcairn),Vulnerable,50,-24.3721,-128.3203,Pitcairn Is.
Omaha-Ponca,Critically endangered,50,42.0817,-96.4855,United States of America
Omotik,Critically endangered,50,-1.115,35.9143,Kenya
Onge,Critically endangered,50,10.639,92.4938,India
Patua,Critically endangered,50,22.1632,113.5464,China
Paulohi,Critically endangered,50,-3.2721,128.757,Indonesia
Potawatomi (Kansas),Critically endangered,50,39.3251,-95.8495,United States of America
Potawatomi (Michigan),Critically endangered,50,45.0269,-84.1992,United States of America
Potawatomi (Oklahoma),Critically endangered,50,35.3135,-96.9255,United States of America
Potawatomi (Wisconsin),Critically endangered,50,45.5601,-88.83,United States of America
Salas,Severely endangered,50,-3.135,130.5505,Indonesia
Samray,Critically endangered,50,13.685,101.5931,"Cambodia, Thailand"
Sapé,Critically endangered,50,5.0033,-63.5449,Venezuela
Sentilese,Critically endangered,50,11.5446,92.2576,India
Sian,Severely endangered,50,2.3854,114.3354,Malaysia
Tambotalo,Severely endangered,50,-15.4655,167.1027,Vanuatu
Tanacross,Critically endangered,50,64.2159,-145.9643,United States of America
Tanaina,Severely endangered,50,63.3422,-148.8647,United States of America
Tanimbili,Severely endangered,50,-11.2935,166.5211,Solomon Is.
Warumungu,Severely endangered,50,-19.5183,133.9453,Australia
Zapotec of San Felipe Tejalapan,Critically endangered,50,17.1099,-96.8539,Mexico
Tench,Critically endangered,49,-1.6394,150.6939,Papua New Guinea
Mudburra,Severely endangered,48,-16.9727,131.77,Australia
Nunggubuyu,Severely endangered,44,-13.8807,135.725,Australia
Dumun,Critically endangered,42,-5.5421,146.0906,Papua New Guinea
Kudu-Camo,Critically endangered,42,11.0166,8.8879,Nigeria
Asumboa,Severely endangered,40,-11.2982,166.4868,Solomon Is.
Bunuba,Severely endangered,40,-17.8951,125.7495,Australia
Chamacoco,Critically endangered,40,-23.0595,-55.6127,"Brazil, Paraguay"
Garrwa,Severely endangered,40,-17.1197,137.6806,Australia
Gumbaynggirr,Critically endangered,40,-30.3349,152.8198,Australia
Maremgi,Definitely endangered,40,-2.2571,139.5455,Indonesia
Mono (Western),Critically endangered,40,37.0943,-119.4999,United States of America
Southern Tutchone,Critically endangered,40,60.7796,-137.4983,Canada
Tipai (United States of America),Severely endangered,40,32.6049,-116.4678,United States of America
Tofa,Critically endangered,40,53.7324,98.2589,Russia
Udege,Critically endangered,40,47.6209,136.0903,Russia
Yoki,Severely endangered,40,-1.5893,137.9127,Indonesia
Noy,Critically endangered,36,8.9312,17.8829,Chad
Chulym Turk,Critically endangered,35,57.3354,88.1542,Russia
Kapori,Critically endangered,35,-3.4,139.7,Indonesia
Kaqchikel (Mexico),Critically endangered,35,19.4044,-90.0604,Mexico
Menominee,Critically endangered,35,44.9356,-88.6144,United States of America
Quechua of Pacaraos,Critically endangered,35,-11.2538,-76.8054,Peru
Turaka,Critically endangered,35,-9.796,149.447,Papua New Guinea
Barasana (Brazil),Severely endangered,34,0.7909,-68.6425,Brazil
Bilakura,Critically endangered,34,-4.9404,145.5303,Papua New Guinea
Macuna (Brazil),Vulnerable,32,1.1395,-67.7636,Brazil
Jarawa,Critically endangered,31,12.6028,92.752,India
Kowaki,Critically endangered,31,-4.6079,145.4067,Papua New Guinea
Kri,Severely endangered,31,18.25,105,Laos
Mawak,Critically endangered,31,-4.5819,145.3079,Papua New Guinea
Alabat Island Agta,Critically endangered,30,14.1209,122.0282,Philippines
Amahai,Critically endangered,30,-3.3352,128.9314,Indonesia
Bardi,Severely endangered,30,-16.9307,122.871,Australia
Cahuilla,Critically endangered,30,33.5404,-116.7436,United States of America
Cambap,Critically endangered,30,6.4872,11.802,Cameroon
Carijona,Critically endangered,30,-1.2743,-70.1147,Colombia
Chintaw,Critically endangered,30,24.9263,98.2414,China
Comox/Sliammon,Critically endangered,30,49.6795,-124.9542,Canada
Djeoromitxi,Severely endangered,30,-12.05,-64.6655,Brazil
Duriankere,Critically endangered,30,-1.3896,130.9247,Indonesia
Goundo,Critically endangered,30,9.4761,16.2652,Chad
Kawucha,Critically endangered,30,-6.9373,146.1621,Papua New Guinea
Kwerisa,Critically endangered,30,-2.9759,138.153,Indonesia
Mono (Eastern),Critically endangered,30,37.3674,-118.3953,United States of America
Ngalkbun,Severely endangered,30,-13.5178,134.6264,Australia
Punan Batu,Critically endangered,30,2.6021,114,Malaysia
Rama,Critically endangered,30,11.8847,-83.7995,Nicaragua
Sia Pedee,Critically endangered,30,0.9887,-79.1674,Ecuador
Ske,Severely endangered,30,-15.9085,168.1924,Vanuatu
Valley Yokuts,Severely endangered,30,36.0582,-119.5241,United States of America
Warnman,Severely endangered,30,-22.9786,122.7832,Australia
Wik Ngencherr,Severely endangered,30,-14.0939,141.8554,Australia
Wiradjuri,Critically endangered,30,-34.5608,147.041,Australia
Malinaltepec Tlapanec,Vulnerable,29,17.2451,-98.6717,Mexico
Ahtna,Critically endangered,25,62.7547,-144.3164,United States of America
Bieria,Critically endangered,25,-16.8045,168.2446,Vanuatu
Caddo,Critically endangered,25,35.0985,-98.2603,United States of America
Columbian,Critically endangered,25,48.1764,-119.0523,United States of America
Iquito,Critically endangered,25,-3.6449,-74.1577,Peru
Kwazá,Critically endangered,25,-12.651,-60.4138,Brazil
Marrithiyel,Critically endangered,25,-13.806,130.0451,Australia
Massep,Critically endangered,25,-1.7575,138.3178,Indonesia
