Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Nyah Kur,Definitely endangered,10000,15.6587,101.5068,Thailand
Nyenkha,Vulnerable,10000,27.4595,90.4119,Bhutan
Orang Hulu,Definitely endangered,10000,1.8871,103.984,Malaysia
Otoro,Severely endangered,10000,11.1864,30.6353,Sudan
Solon,Definitely endangered,10000,48.166,119.4873,China
Southern Tujia,Severely endangered,10000,28.258,109.9398,China
Taba,Vulnerable,10000,0.0659,127.4084,Indonesia
Talu,Vulnerable,10000,26.5623,102.8506,China
Tamazight (Tunisia),Severely endangered,10000,36.0313,9.8767,Tunisia
Tayal,Vulnerable,10000,24.5458,121.3591,China
Temein,Severely endangered,10000,11.8377,29.4625,Sudan
Temiar,Definitely endangered,10000,4.9493,101.4113,Malaysia
Trukhmen,Definitely endangered,10000,44.4886,44.5385,"Russia, Turkmenistan"
Vidunda,Vulnerable,10000,-6.8664,37.304,Tanzania
Kogui,Vulnerable,9911,10.8548,-74.0258,Colombia
Paloor,Vulnerable,9680,14.7801,-16.8035,Senegal
Awakatek (Guatemala),Vulnerable,9613,15.3429,-91.312,Guatemala
Choctaw (Louisiana),Vulnerable,9500,31.6822,-92.1252,United States of America
Choctaw (Mississipi),Vulnerable,9500,32.7713,-89.1163,United States of America
Choctaw (Oklahoma),Vulnerable,9500,34.1472,-94.81,United States of America
Gawar-Bati,Definitely endangered,9500,35.158,71.4083,"Pakistan, Afghanistan"
Taruang,Vulnerable,9332,28.12,95.88,"China, India, Myanmar"
Khaling,Definitely endangered,9288,27.5781,86.7163,Nepal
Western Tarahumara,Vulnerable,9196,27.3361,-108.5007,Mexico
Nunavimmiutitut,Vulnerable,9105,58.1665,-68.3605,Canada
Woods Cree,Vulnerable,9095,55.1711,-102.9061,Canada
Phula (Vietnam),Definitely endangered,9046,22.7833,105.4666,Vietnam
Dol-po,Definitely endangered,9000,29.2193,83.0676,Nepal
Helong,Severely endangered,9000,-10.1905,123.5247,Indonesia
Lisela,Vulnerable,9000,-3.2392,127.0239,Indonesia
Motuo Menba,Definitely endangered,9000,28.664,94.0347,"China, India"
Panamahka,Vulnerable,9000,14.2856,-84.5947,Nicaragua
Zuni,Vulnerable,9000,35.082,-108.76,United States of America
Mopán (Belize),Severely endangered,8980,16.2449,-88.8654,Belize
Tulishi,Severely endangered,8628,11.5984,29.0917,Sudan
Central Cuicatec,Vulnerable,8621,17.8,-96.961,Mexico
Ts'amay,Definitely endangered,8621,5.4382,37.2463,Ethiopia
Phalura,Definitely endangered,8600,35.7264,71.7434,Pakistan
Northern Popoloc,Vulnerable,8597,18.6818,-97.658,Mexico
Ixcatlán Mazatec,Vulnerable,8593,18.1447,-96.4855,Mexico
Patla-Chicontla Totonac,Severely endangered,8590,20.1644,-97.6927,Mexico
Toram,Severely endangered,8456,11.1581,19.6023,Chad
Northwestern Tlapanec,Vulnerable,8409,17.5595,-98.9332,Mexico
Dene,Vulnerable,8195,56.4807,-109.4127,Canada
Micmac (Massachusetts),Definitely endangered,8145,42.3589,-71.0578,United States of America
Argobba,Critically endangered,8000,10.5958,39.9792,Ethiopia
Austral dialects,Definitely endangered,8000,-23.3775,-149.4909,Fr. Polynesia
Belanda Bor,Definitely endangered,8000,6.4954,27.7404,Sudan
Feroge,Vulnerable,8000,8.5049,25.7189,Sudan
Hachijō,Definitely endangered,8000,33.11,139.7891,Japan
Inga,Severely endangered,8000,1.1658,-77.0011,Colombia
Kanga,Severely endangered,8000,10.844,29.4708,Sudan
Lajia,Definitely endangered,8000,23.7439,110.0526,China
Lakha,Definitely endangered,8000,27.5898,90.3735,Bhutan
Mbya Guarani (Paraguay),Definitely endangered,8000,-26.5099,-55.2832,Paraguay
Mundurukú,Vulnerable,8000,-8.1027,-57.3486,Brazil
Ojibwe,Severely endangered,8000,46.0706,-93.6677,United States of America
Quichua (Salasaca),Definitely endangered,8000,-1.3511,-78.6511,Ecuador
Rongpo,Vulnerable,8000,30.7229,79.7387,India
Sanyi,Severely endangered,8000,24.9262,102.5134,China
Temuan,Severely endangered,8000,3.3709,101.984,Malaysia
Tingal,Definitely endangered,8000,12.238,31.1215,Sudan
Wampis,Vulnerable,8000,-3.4476,-77.7941,Peru
Wunai Bunu,Definitely endangered,8000,24.4146,107.8378,China
Yanesha,Severely endangered,8000,-10.3743,-75.2343,Peru
Mam (Mexico),Severely endangered,7977,17.3661,-93.5334,Mexico
Pana,Definitely endangered,7800,13.165,-3.4277,Burkina Faso
Macushi (Guyana),Vulnerable,7750,3.6888,-59.4799,Guyana
Chukchi,Severely endangered,7742,67.6248,176.1767,Russia
Cabécar,Vulnerable,7622,9.9012,-83.6844,Costa Rica
Awa Cuaiquer,Critically endangered,7500,1.4939,-78.5742,Colombia
Lishana Deni (Israel),Severely endangered,7500,31.7748,35.1013,Israel
Central Pame,Vulnerable,7399,21.9208,-99.3741,Mexico
Puinave,Definitely endangered,7377,4.434,-68.1591,"Colombia, Venezuela"
Mebengokre,Vulnerable,7266,-6.5569,-52.4707,Brazil
Tunebo,Definitely endangered,7231,6.4463,-72.0483,"Colombia, Venezuela"
Quechua of Peruvian Amazonia,Vulnerable,7200,-2.3723,-74.1137,Peru
Asur,Definitely endangered,7000,22.4719,84.9023,India
Bashkardi,Definitely endangered,7000,28.5169,57.7551,Iran
Burji,Vulnerable,7000,2.1857,37.9248,Kenya
Choyi,Definitely endangered,7000,30.8519,99.6659,China
Gazi,Definitely endangered,7000,32.8036,51.6211,Iran
Guichong,Vulnerable,7000,30.8148,101.7021,China
Karagash,Definitely endangered,7000,47.2643,47.2412,Russia
Natanzi,Severely endangered,7000,33.452,51.3006,Iran
Nayini,Severely endangered,7000,32.8519,53.1573,Iran
Parya,Severely endangered,7000,38.5094,68.0932,"Uzbekistan, Tajikistan, Afghanistan"
Segeju,Severely endangered,7000,-4.8173,39.0783,Tanzania
Sivandi,Definitely endangered,7000,29.9168,51.5945,Iran
Soi,Definitely endangered,7000,31.6533,55.6787,Iran
Tucano (Brazil),Vulnerable,7000,0.1757,-67.2363,Brazil
Wapishana (Guyana),Vulnerable,7000,2.3065,-59.6997,Guyana
Yulu,Vulnerable,7000,8.3854,24.1754,"Central African Rep., Dem. Rep. Congo, Sudan"
Zhaba,Vulnerable,7000,31.4,100.4734,China
Sakapultek,Definitely endangered,6973,14.9752,-91.0527,Guatemala
Chara,Vulnerable,6932,6.479,36.3647,Ethiopia
Kosraean,Severely endangered,6900,5.322,162.9904,"Micronesia, Nauru"
Waunana (Panama),Severely endangered,6882,8.2984,-78.1018,Panama
San Francisco del Mar Huave,Critically endangered,6874,16.3333,-94.5166,Mexico
Northern East Cree,Vulnerable,6870,53.6916,-78.8011,Canada
Micmac (Canada),Vulnerable,6850,45.9646,-60.6172,Canada
Northern Tepehuán,Definitely endangered,6802,26.4258,-107.2683,Mexico
Miju,Vulnerable,6700,28.1155,96.2896,"China, India"
Rio Grande Keresan,Definitely endangered,6685,35.5147,-106.3655,United States of America
Western Mazatec,Vulnerable,6639,18.1351,-96.9057,Mexico
Bussa,Vulnerable,6624,5.7225,37.1406,Ethiopia
Beli,Definitely endangered,6600,6.4736,29.2675,Sudan
Chesu,Definitely endangered,6600,24.4211,102.0459,China
Thuri,Vulnerable,6600,8.4397,25.4333,Sudan
Karata,Definitely endangered,6574,42.5874,46.3348,Russia
Saulteau,Vulnerable,6558,50.5573,-98.6562,Canada
Kumāle,Severely endangered,6533,27.788,84.548,Nepal
Lower Northwestern Otomí,Vulnerable,6509,20.1865,-100.1469,Mexico
Dimme,Vulnerable,6501,5.9548,36.2988,Ethiopia
Chiquitano (Bolivia),Definitely endangered,6500,-16.5835,-61.6113,Bolivia
Tumtum,Severely endangered,6500,10.477,30.4321,Sudan
Bezhta,Definitely endangered,6461,42.1369,46.1508,Russia
Thakali,Vulnerable,6441,28.7146,83.6478,Nepal
Dongotono,Vulnerable,6219,4.965,35.321,Sudan
Mawé,Vulnerable,6219,-3.8642,-56.7773,Brazil
Shor,Severely endangered,6210,53.0544,87.7478,Russia
Central Tlapanec,Vulnerable,6191,17.2624,-98.7482,Mexico
Oji-Cree,Vulnerable,6110,53.8141,-94.8977,Canada
Keiga,Severely endangered,6072,11.3184,29.696,Sudan
Ampibabo Lauje,Vulnerable,6000,0.3295,120.1904,Indonesia
Cashinahua (Brazil),Vulnerable,6000,-9.2603,-71.5304,Brazil
Geji cluster,Severely endangered,6000,10.196,9.5581,Nigeria
Mbya Guarani (Brazil),Vulnerable,6000,-30.1451,-50.625,Brazil
Moklen,Definitely endangered,6000,8.1953,98.3036,"Myanmar, Thailand"
Nauruan,Severely endangered,6000,-0.53,166.9221,Nauru
Nheengatu / Yeral (Brazil),Severely endangered,6000,-0.4833,-67.0166,Brazil
Parachi,Definitely endangered,6000,34.4658,68.637,Afghanistan
Quechua of San Martín,Severely endangered,6000,-6.5336,-76.4428,Peru
Sawkna,Critically endangered,6000,27.252,17.7539,Libya
Sulung,Definitely endangered,6000,27.839,92.8784,"China, India"
Tindi,Definitely endangered,6000,42.466,46.1453,Russia
Western Apache,Definitely endangered,6000,33.2563,-110.4637,United States of America
Yanomami (Brazil),Vulnerable,6000,3.0746,-63.457,Brazil
Yazgulami,Severely endangered,6000,38.1982,71.4276,Tajikistan
Chantyal,Definitely endangered,5912,28.4493,83.4054,Nepal
Mortlockese,Definitely endangered,5904,5.5811,153.5668,Micronesia
Baníwa do Içana,Vulnerable,5811,1.2743,-68.291,"Brazil, Colombia, Venezuela"
"Akawaio (Guyana, Venezuela)",Definitely endangered,5800,5.3753,-60.5126,"Guyana, Venezuela"
Akhvakh,Definitely endangered,5793,42.472,46.3238,Russia
Veps,Severely endangered,5753,60.3269,34.8046,Russia
Qikiqtaaluk nigiani,Vulnerable,5740,63.7577,-68.5178,Canada
Sipakapense,Definitely endangered,5687,15.2121,-91.6335,Guatemala
Bribri (Costa Rica),Vulnerable,5647,9.5596,-83.3073,Costa Rica
Bainouk-Gunyaamolo,Vulnerable,5635,12.7421,-16.1141,Senegal
Kwatay,Severely endangered,5625,12.4204,-16.7596,Senegal
Baheng (Vietnam),Vulnerable,5569,22.8166,106.35,Vietnam
Central Zoque,Definitely endangered,5500,17.0965,-93.2095,Mexico
Dameli,Severely endangered,5500,35.578,71.8684,Pakistan
Sak (Bangladesh),Severely endangered,5500,21.5041,92.2055,Bangladesh
Yidgha,Definitely endangered,5500,36.0024,71.6006,Pakistan
Southeastern Tarahumara,Vulnerable,5406,26.0891,-106.9645,Mexico
Chimané,Vulnerable,5300,-15.2629,-66.8518,Bolivia
Dilling,Definitely endangered,5295,12.0178,29.663,Sudan
San Dionisio del Mar Huave,Definitely endangered,5165,16.3166,-94.75,Mexico
Lafofa,Severely endangered,5140,10.3716,30.6243,Sudan
Akeu,Definitely endangered,5000,21.5833,101.0166,"Laos, Myanmar, Thailand"
Anung (China),Critically endangered,5000,26.7368,98.7766,China
Bagvalal,Definitely endangered,5000,42.5247,46.192,Russia
Bambassi,Definitely endangered,5000,9.7469,34.7662,Ethiopia
Barí,Vulnerable,5000,9.0261,-73.2678,Colombia
Bartangi,Severely endangered,5000,38.048,71.8286,Tajikistan
Bokar,Vulnerable,5000,28.8735,94.3807,"China, India"
Brokpa,Definitely endangered,5000,27.3766,91.9981,Bhutan
Creek,Definitely endangered,5000,35.6319,-95.9616,United States of America
Cubeo (Colombia),Vulnerable,5000,1.5,-70.5,Colombia
Dagur (Hailar),Definitely endangered,5000,48.6111,119.7949,China
Damal,Vulnerable,5000,-4.2806,137.0324,Indonesia
Dhaiso,Definitely endangered,5000,-5.0745,38.4741,Tanzania
Gorum,Definitely endangered,5000,18.667,83.0346,India
Guarayu,Definitely endangered,5000,-15.919,-62.8747,Bolivia
Gutnish,Definitely endangered,5000,57.3027,18.5284,Sweden
Hopi,Vulnerable,5000,35.8721,-110.6205,United States of America
Ilue,Critically endangered,5000,4.9185,8.2397,Nigeria
Jibbali,Severely endangered,5000,18.0623,52.4267,Oman
Kalasha,Severely endangered,5000,35.6684,71.7201,Pakistan
Kami,Severely endangered,5000,-6.8937,37.1337,Tanzania
Kathu,Definitely endangered,5000,24.136,105.249,China
Khojki,Severely endangered,5000,23.6193,58.5653,Oman
Khwe,Definitely endangered,5000,-18.271,21.4892,Namibia
Kom,Definitely endangered,5000,24.0414,93.6639,India
Korandje,Severely endangered,5000,29.4049,-3.2605,Algeria
Lachi,Definitely endangered,5000,22.5,104.1333,Vietnam
Mak,Definitely endangered,5000,25.5532,107.3809,China
Manihiki,Definitely endangered,5000,-10.4,-161,Cook Is.
Megleno-Romanian,Severely endangered,5000,41.1042,22.2025,"Greece, Macedonia"
Miji,Definitely endangered,5000,27.3351,92.5735,India
Mo'ang (China),Definitely endangered,5000,23.8421,103.9116,China
Mo'ang (Vietnam),Definitely endangered,5000,22.7833,105.3666,Vietnam
Molise Croatian,Severely endangered,5000,41.8787,14.7065,Italy
Moroccan Judeo-Arabic (Morocco),Severely endangered,5000,34.0435,-5.0097,Morocco
Namuyi,Vulnerable,5000,28.0727,101.9565,China
Padoe,Vulnerable,5000,-2.6467,121.2615,Indonesia
Patamona (Guyana),Vulnerable,5000,4.5873,-59.8095,Guyana
Pu,Critically endangered,5000,8.2549,93.1022,India
Pume,Definitely endangered,5000,6.7518,-68.247,Venezuela
Singpho,Definitely endangered,5000,27.5569,96.7456,India
Turi,Definitely endangered,5000,21.8411,87.2973,India
Udi (Azerbaijan),Severely endangered,5000,41.0689,47.4609,Azerbaijan
Yecuana (Venezuela),Vulnerable,5000,4.8501,-64.5117,Venezuela
Jirel,Definitely endangered,4919,27.6419,86.2123,Nepal
Dolgan,Definitely endangered,4865,71.3851,97.3388,Russia
Romani (Colombia),Vulnerable,4858,,,Colombia
Tsum,Definitely endangered,4786,28.4723,85.008,Nepal
Northern Tlapanec,Vulnerable,4771,17.4203,-98.7814,Mexico
Taroko,Vulnerable,4750,24.0916,121.5218,China
Kivallirmiutut,Vulnerable,4675,61.0982,-94.1201,Canada
Puebla Mazatec,Vulnerable,4660,18.476,-96.8351,Mexico
Zapotec of Petapa,Definitely endangered,4613,16.8333,-95.1166,Mexico
Dungmali,Definitely endangered,4609,27.1874,87.1902,Nepal
Saryg Yugur,Severely endangered,4600,39.2747,98.8439,China
Qikiqtaaluk uannangani,Vulnerable,4550,69.3878,-81.615,Canada
Afitti,Severely endangered,4512,12.4419,30.7534,Sudan
Nomatsiguenga,Severely endangered,4500,-11.3292,-74.3664,Peru
Piapoko,Definitely endangered,4500,4.0396,-68.0712,"Colombia, Venezuela"
Tokelauan,Severely endangered,4500,-9.1699,-171.8206,Tokelau
Wotu,Vulnerable,4500,-2.6303,120.888,Indonesia
Wambule,Vulnerable,4471,27.1746,86.4363,Nepal
Southern East Cree,Vulnerable,4455,50.587,-73.6365,Canada
Arbore,Definitely endangered,4441,5.069,36.892,Ethiopia
Ebang,Severely endangered,4412,11.313,30.5886,Sudan
Tafi,Vulnerable,4400,6.73,0.4421,Ghana
Puma,Severely endangered,4310,26.9692,86.9004,Nepal
Gyele,Definitely endangered,4280,2.2241,9.8986,"Cameroon, Eq. Guinea"
Bwisi,Definitely endangered,4248,-3.5572,11.4477,"Congo, Gabon"
Eastern Montagnais,Vulnerable,4180,50.2136,-66.193,Canada
Atikamekw,Vulnerable,4155,47.2104,-74.3827,Canada
Western Zoque,Vulnerable,4100,16.9063,-91.7333,Mexico
Acoma-Laguna,Definitely endangered,4000,34.8964,-107.5816,United States of America
Aka,Definitely endangered,4000,27.1666,92.6312,"India, Sudan"
Baga Manduri,Definitely endangered,4000,10.0986,-14.0405,Guinea
Baga Sitemu,Severely endangered,4000,10.1094,-14.1586,Guinea
Botlikh,Definitely endangered,4000,42.6602,46.2222,Russia
Bunan,Definitely endangered,4000,32.7503,76.2451,India
Cashinahua (Peru),Definitely endangered,4000,-10.3581,-71.5869,Peru
Cha'palaa,Definitely endangered,4000,0.9386,-79.0055,Ecuador
Evenki (Manchuria),Severely endangered,4000,50.34,123.43,China
Gazhuo,Definitely endangered,4000,24.0959,102.5463,China
Godoberi,Definitely endangered,4000,42.643,46.1027,Russia
"Kari'ña (Guyana, Suriname)",Severely endangered,4000,6.8828,-60.2929,"Guyana, Suriname"
Lishan Didan (Israel),Severely endangered,4000,32.0383,34.7827,Israel
Maleng,Definitely endangered,4000,18.0166,105,Laos
Napu,Vulnerable,4000,-1.2882,120.2536,Indonesia
Rahambuu,Vulnerable,4000,-3.1898,121.0858,Indonesia
Shingsaba,Vulnerable,4000,27.7163,87.4731,"China, Nepal"
Sinkiang Dagur,Definitely endangered,4000,46.7737,83.0017,China
Taa,Definitely endangered,4000,-24.1367,20.1049,Botswana
Tennet,Vulnerable,4000,4.8611,33.2226,Sudan
Wapishana (Brazil),Definitely endangered,4000,2.8113,-61.2377,Brazil
Yagua,Definitely endangered,4000,-3.3598,-72.3779,Peru
Yanomám,Vulnerable,4000,3.3818,-63.8085,Brazil
Yanomami (Venezuela),Vulnerable,4000,2.5918,-64.7314,Venezuela
Younuo Bunu,Definitely endangered,4000,25.1463,106.5405,China
Zenaga (Mauritania),Severely endangered,4000,17.3086,-13.0078,Mauritania
Baghati,Critically endangered,3976,31.194,77.0471,India
Bharmauri,Definitely endangered,3976,32.4912,76.8383,India
Uspantek,Vulnerable,3971,15.3475,-90.8684,Guatemala
Khang Quang Lam,Severely endangered,3921,22.0333,102.6666,Vietnam
Konni,Vulnerable,3800,10.3311,-1.6973,Ghana
Tocho,Severely endangered,3800,10.8764,30.1135,Sudan
Mixtec of the Puebla-Oaxaca border,Definitely endangered,3791,18.1333,-97.6833,Mexico
Nupri,Definitely endangered,3776,28.6384,84.6079,Nepal
Ayoreo,Definitely endangered,3700,-18.719,-59.6228,Bolivia
Moyon,Definitely endangered,3700,24.4171,94.378,India
Utsat,Definitely endangered,3700,18.2727,109.3871,China
Nayi,Vulnerable,3656,7.2698,36.1724,Ethiopia
Mussau-Emira,Definitely endangered,3651,-1.4774,149.6392,Papua New Guinea
Narim,Definitely endangered,3623,4.9048,34.2224,Sudan
Garífuna (Guatemala),Vulnerable,3564,15.8268,-88.7506,Guatemala
Nachiring,Severely endangered,3553,27.4144,86.7521,Nepal
Eastern Popoloc,Vulnerable,3544,18.3322,-97.3471,Mexico
Nding,Critically endangered,3513,10.4121,30.6024,Sudan
Anung (Myanmar),Severely endangered,3500,27.2,98.6333,Myanmar
Camsá,Definitely endangered,3500,0.8788,-76.7724,Colombia
Crow,Definitely endangered,3500,45.5963,-107.4613,United States of America
Sak (Myanmar),Vulnerable,3500,21.2333,93.0761,Myanmar
Shwai,Critically endangered,3500,11.3184,30.4156,Sudan
Wano,Definitely endangered,3500,-3.5463,137.9058,Indonesia
Northwestern Ojibwe,Vulnerable,3465,52.0016,-95.4274,Canada
Bakpinka,Critically endangered,3416,5.3644,8.2397,Nigeria
Morokodo,Severely endangered,3400,6.0313,29.7949,Sudan
Eloxochitlán Mazatec,Vulnerable,3384,18.1754,-96.8765,Mexico
Menik,Definitely endangered,3375,12.7528,-12.2717,Senegal
Teribe (Panama),Definitely endangered,3305,9.4472,-82.5166,Panama
Tima,Severely endangered,3305,11.7033,29.1934,Sudan
Mursi,Vulnerable,3278,5.5831,36.5075,Ethiopia
Pendau,Vulnerable,3200,0.1922,120.0091,Indonesia
Ayautla Mazatec,Vulnerable,3192,18.019,-96.7441,Mexico
Yucatec,Definitely endangered,3155,17.0922,-89.1221,Belize
Sayultec,Definitely endangered,3150,17.8816,-94.9597,Mexico
Eastern Tlapanec,Vulnerable,3088,17.8135,-98.604,Mexico
Juhur (Caucasus),Definitely endangered,3016,42.0044,48.2409,"Azerbaijan, Russia"
Awjila,Severely endangered,3000,26.6278,24.5214,Libya
Baleasang,Definitely endangered,3000,-0.0494,119.685,Indonesia
Benga,Definitely endangered,3000,0.9997,9.8657,"Gabon, Eq. Guinea"
Besoa,Vulnerable,3000,-1.7163,120.4211,Indonesia
Boni,Definitely endangered,3000,-0.8294,40.8142,Kenya
Bonjo,Severely endangered,3000,1.7712,17.9598,Congo
Brokshat,Definitely endangered,3000,34.6478,76.4978,India
Budukh,Severely endangered,3000,41.1207,48.3233,Azerbaijan
Dahaalik,Critically endangered,3000,15.6917,40.0671,Eritrea
East Greenlandic,Definitely endangered,3000,65.6061,-37.6858,Greenland
Eastern Khanty,Definitely endangered,3000,61.2491,74.5092,Russia
Fyem,Severely endangered,3000,9.6332,8.8632,Nigeria
Geta?,Severely endangered,3000,18.2293,82.727,India
Gura,Severely endangered,3000,10.075,6.8499,Nigeria
Harsusi,Definitely endangered,3000,19.9372,56.2637,Oman
Hozo,Definitely endangered,3000,9.3352,34.53,Ethiopia
Jemez,Vulnerable,3000,35.6151,-106.7242,United States of America
Kamara,Definitely endangered,3000,9.0858,-2.2576,Ghana
Kapingamarangi,Severely endangered,3000,1.0828,154.8081,Micronesia
Koitabu,Vulnerable,3000,-9.346,147.1179,Papua New Guinea
Kuk,Definitely endangered,3000,6.4326,10.2365,Cameroon
Lai,Definitely endangered,3000,24.4871,105.216,China
Limirong Tibetan,Definitely endangered,3000,29.9164,81.7617,Nepal
Lishanid Noshan (Israel),Severely endangered,3000,31.7188,34.7772,Israel
Lude,Severely endangered,3000,61.5867,33.6813,Russia
"Mbya Guarani (Argentina, Uruguay)",Severely endangered,3000,-29.6116,-57.4804,"Argentina, Uruguay"
"Mohawk (Akwesasne, St. Regis)",Definitely endangered,3000,45.0033,-74.6497,United States of America
Nanay,Severely endangered,3000,49.3537,136.5243,"China, Russia"
Palu'e,Definitely endangered,3000,-8.3242,121.7106,Indonesia
Panare,Vulnerable,3000,6.5445,-66.4233,Venezuela
Pilagá,Vulnerable,3000,-25.4035,-58.6669,Argentina
Pitjantjatjara,Vulnerable,3000,-26.0719,129.9517,Australia
Pukur,Definitely endangered,3000,10.4013,-14.4799,Guinea
Rotuman,Vulnerable,3000,-12.5063,177.0776,Fiji
Savi,Definitely endangered,3000,35.2085,71.845,"Pakistan, Afghanistan"
Sherdukpen,Vulnerable,3000,27.1935,92.351,India
Shira Yugur,Severely endangered,3000,39.1002,99.2065,China
Takahanyilang,Critically endangered,3000,6.85,93.8726,India
U,Definitely endangered,3000,23.4844,99.8404,China
Ulithian,Severely endangered,3000,10.0229,139.6801,Micronesia
Waima'a,Definitely endangered,3000,-8.4995,126.3372,Timor-Leste
Warlpiri,Vulnerable,3000,-20.8177,131.6601,Australia
Yukpa,Vulnerable,3000,9.7956,-72.9382,Venezuela
Western Montagnais,Vulnerable,2980,48.9635,-68.5729,Canada
Waiwai (Brazil),Vulnerable,2916,-0.7909,-58.2714,Brazil
Jersey French,Severely endangered,2874,49.2211,-2.1368,United Kingdom of Great Britain and Northern Ireland
Bahing,Definitely endangered,2765,27.3126,86.5571,Nepal
Stoney,Vulnerable,2765,51.161,-114.8533,Canada
Southwestern Tepehuan,Vulnerable,2756,22.8349,-105.7276,Mexico
Northern Mansi,Severely endangered,2746,62.6539,63.1494,Russia
Bisu,Definitely endangered,2740,19.715,99.6789,"Myanmar, Thailand"
Wari,Definitely endangered,2721,-11.7275,-65.0061,Brazil
Pakan,Definitely endangered,2700,23.7447,105.2235,China
Yami,Vulnerable,2700,22.0512,121.5403,China
Ko,Critically endangered,2683,10.6714,30.8386,Sudan
Yuracaré,Definitely endangered,2675,-16.6888,-65.4345,Bolivia
Aimol,Critically endangered,2643,24.4971,93.6145,India
Kohi,Vulnerable,2641,27.3607,86.8661,Nepal
Chatino of the western lowlands,Definitely endangered,2640,16.3049,-97.5466,Mexico
Bolo,Definitely endangered,2627,-10.5526,14.9633,Angola
Logol,Severely endangered,2600,10.8521,30.6463,Sudan
Sila,Definitely endangered,2600,22.3094,102.041,"Laos, Vietnam"
Pisaflores Tepehua,Vulnerable,2578,20.6883,-98.0125,Mexico
Xerente,Severely endangered,2569,-9.3356,-48.2227,Brazil
Bribri (Panama),Severely endangered,2521,9.4813,-82.6174,Panama
Achuar,Definitely endangered,2500,-2.8991,-77.4316,"Ecuador, Peru"
Bai,Definitely endangered,2500,8.0592,25.5102,Sudan
Banka,Definitely endangered,2500,11.4261,-5.6744,Mali
Culina (Peru),Definitely endangered,2500,-9.6224,-70.7958,Peru
Gadang,Definitely endangered,2500,10.3473,17.2485,Chad
Khinalug,Severely endangered,2500,41.1579,48.0706,Azerbaijan
Laomian (China),Definitely endangered,2500,23.7645,100.0195,China
Laomian (Myanmar),Definitely endangered,2500,22.6833,99.25,Myanmar
Lhokpu,Definitely endangered,2500,26.9514,89.2968,Bhutan
Martuwangka,Vulnerable,2500,-24.1975,122.9589,Australia
Mayoruna (Peru),Vulnerable,2500,-5.5285,-73.4765,Peru
Pingelapese,Severely endangered,2500,6.2279,160.7107,Micronesia
Rapanui,Severely endangered,2500,-27.108,-109.3579,Chile
Remo,Severely endangered,2500,19.1659,82.6391,India
Roshorvi,Severely endangered,2500,38.1086,72.1719,Tajikistan
Sanglechi,Severely endangered,2500,36.6585,71.4784,"Tajikistan, Afghanistan"
Semelai,Severely endangered,2500,3.1761,102.4818,Malaysia
Urak Lawoi (Malaysia),Definitely endangered,2500,6.4194,99.7869,Malaysia
Urak Lawoi (Thailand),Definitely endangered,2500,7.7756,98.3306,Thailand
Zirenkel,Definitely endangered,2500,12.136,18.4735,Chad
Vumbu,Definitely endangered,2460,-1.8783,10.816,Gabon
Mopán (Guatemala),Severely endangered,2455,16.5144,-89.4167,Guatemala
Cuiba,Severely endangered,2445,6.4463,-69.9389,"Colombia, Venezuela"
Raji,Severely endangered,2413,27.9721,82.3135,Nepal
Highland Chontal,Severely endangered,2410,16.2832,-95.857,Mexico
Yasa,Definitely endangered,2401,2.3284,9.8464,"Cameroon, Eq. Guinea"
Bumbita Arapesh,Vulnerable,2353,-3.6449,142.8002,Papua New Guinea
Mang (China),Definitely endangered,2300,22.8293,103.1039,China
Mang (Vietnam),Definitely endangered,2300,22.35,102.9666,Vietnam
Tlachichilco Tepehua,Definitely endangered,2234,20.6205,-98.1991,Mexico
Blackfoot (Canada),Definitely endangered,2200,49.3535,-113.2884,Canada
Jaya,Severely endangered,2200,12.187,18.1645,Chad
Karipuna do Amapá,Vulnerable,2200,3.3379,-51.6796,Brazil
Kulfa,Definitely endangered,2200,9.9742,19.1848,Chad
Krahô,Vulnerable,2184,-8.4071,-47.2851,Brazil
Kristang,Severely endangered,2150,2.1935,102.256,Malaysia
Yine,Definitely endangered,2150,-11.4584,-73.0261,Peru
North Alaskan Inupiaq (Kotzebue Sound),Severely endangered,2144,66.8972,-162.5855,United States of America
North Alaskan Inupiaq (North Slope),Severely endangered,2144,71.2725,-156.7749,United States of America
Seward Peninsula Inupiaq (King Island),Critically endangered,2144,64.9728,-168.0616,United States of America
Seward Peninsula Inupiaq (Little Diomede Island),Critically endangered,2144,65.755,-168.9167,United States of America
Seward Peninsula Inupiaq (Norton Sound),Critically endangered,2144,64.5433,-163.029,United States of America
Katukína-Kanamarí,Vulnerable,2100,-5.6159,-68.7304,Brazil
Tiwi,Vulnerable,2100,-11.6091,130.8911,Australia
Zaozou,Vulnerable,2100,26.1554,99.2944,China
Ngäbere (Costa Rica),Definitely endangered,2041,8.4723,-82.9907,Costa Rica
Aiton,Severely endangered,2000,26.6523,94.2901,India
Anindilyakwa,Vulnerable,2000,-13.9987,136.582,Australia
Apurinã,Definitely endangered,2000,-5.4847,-63.8964,Brazil
Arrernte,Vulnerable,2000,-24.1668,132.0996,Australia
Ashkun,Definitely endangered,2000,34.9973,71.0746,Afghanistan
Ata,Critically endangered,2000,9.6081,122.9155,Philippines
Athpahariya,Definitely endangered,2000,26.952,87.3399,Nepal
Ava-Guaraní,Definitely endangered,2000,-23.1403,-64.3359,Argentina
