Country,Name,Status,Speakers,Latitude,Longitude
Russia,Tabasaran,Vulnerable,128391,41.8081,47.9882
India,Chambeali,Definitely endangered,126589,32.9072,76.5307
Georgia,Abkhaz,Vulnerable,125000,43.133,40.8471
Russia,Abkhaz,Vulnerable,125000,43.133,40.8471
Turkey,Abkhaz,Vulnerable,125000,43.133,40.8471
India,Phom,Vulnerable,123000,26.7799,94.9493
India,Kolami,Definitely endangered,121855,20.5093,78.1787
United States of America,Navajo,Vulnerable,120000,35.8044,-108.475
Italy,Sassarese,Definitely endangered,120000,40.6139,8.6132
Algeria,Tamahaq (Algeria),Vulnerable,120000,22.8369,5.5371
India,Konda,Definitely endangered,118597,18.2763,82.9385
Mexico,Sierra Totonac,Severely endangered,118367,20.2461,-97.6586
India,Jaunsari,Definitely endangered,114733,30.4859,78.0908
India,Dimasa,Vulnerable,112000,24.7368,92.9003
China,Ladakhi,Vulnerable,105000,34.0617,77.5909
India,Ladakhi,Vulnerable,105000,34.0617,77.5909
China,Salar,Vulnerable,104503,36.2752,102.4584
India,Simi,Vulnerable,104000,25.9777,94.5922
Mexico,Phurhepecha,Vulnerable,102988,19.3111,-102.041
Ukraine,Crimean Tatar (Crimea),Severely endangered,100000,45.3212,34.3212
China,Dagur (Nonni),Definitely endangered,100000,47.9163,124.1235
France,Francoprovençal,Definitely endangered,100000,45.7828,6.9982
Italy,Francoprovençal,Definitely endangered,100000,45.7828,6.9982
Switzerland,Francoprovençal,Definitely endangered,100000,45.7828,6.9982
Italy,Gallurese,Definitely endangered,100000,40.8802,9.4482
Argentina,Mapuche (Argentina),Severely endangered,100000,-40.0791,-71.0156
Oman,Mehri,Definitely endangered,100000,16.5993,52.8057
Yemen,Mehri,Definitely endangered,100000,16.5993,52.8057
Nicaragua,Miskito (Nicaragua),Vulnerable,100000,12.4001,-83.7332
China,Ordos,Definitely endangered,100000,39.1641,108.1054
Bolivia,Quechua of Northern Bolivia,Vulnerable,100000,-15.3649,-69.0518
Kenya,Suba,Vulnerable,100000,-0.9942,34.519
Tanzania,Suba,Vulnerable,100000,-0.9942,34.519
Honduras,Garífuna (Honduras),Vulnerable,98000,15.6754,-88.1476
Colombia,Embera (Colombia),Vulnerable,95000,6.1624,-76.8383
India,Kabui,Vulnerable,95000,24.7218,93.6584
Tajikistan,Shughni,Vulnerable,95000,37.4879,71.5374
Afghanistan,Shughni,Vulnerable,95000,37.4879,71.5374
Russia,Permyak,Definitely endangered,94328,59.204,54.5361
Guatemala,Poqomchi',Vulnerable,92941,15.3757,-90.4288
India,Yimchungru,Vulnerable,92000,25.9629,94.9713
Russia,Nogay (Caucasus),Definitely endangered,90020,43.8028,46.2744
Sudan,Heiban,Vulnerable,90000,10.8575,30.2371
Ecuador,Quichua (Cañar and Azuay),Severely endangered,90000,-2.6577,-78.8378
Mexico,Mezquital Otomí,Definitely endangered,88789,20.4831,-99.217
Mexico,Eastern Mazahua,Definitely endangered,88001,19.7129,-99.9515
Pakistan,Burushaski,Vulnerable,87000,35.909,74.2153
Mexico,Central Otomí,Definitely endangered,84593,19.4661,-99.5944
India,Chokri,Vulnerable,84000,25.8691,94.7131
India,Sangtam,Vulnerable,84000,26.6032,94.9603
Guatemala,Ixil (Guatemala),Vulnerable,83574,15.4849,-91.0358
Guatemala,Achi',Vulnerable,82640,15.0845,-90.4888
Ethiopia,Yem,Vulnerable,81613,7.6347,37.3205
India,Mao,Vulnerable,81000,25.5027,94.2681
Italy,Arbëresh,Definitely endangered,80000,40.9321,14.8645
Iran,Lari,Definitely endangered,80000,27.8585,54.8547
Colombia,Páez,Definitely endangered,80000,2.8237,-76.3117
Argentina,Quechua of Santiago del Estero,Definitely endangered,80000,-26.7848,-63.6767
Georgia,Svan,Definitely endangered,80000,43.0207,42.3193
Laos,Tai Daeng,Vulnerable,80000,19.8833,104.6166
Vietnam,Tai Daeng,Vulnerable,80000,19.8833,104.6166
Algeria,Taznatit,Severely endangered,80000,29.3413,0.3955
Yemen,Razihi,Definitely endangered,75000,16.8834,43.2655
China,Wakhi,Definitely endangered,75000,37.1603,74.9047
Pakistan,Wakhi,Definitely endangered,75000,37.1603,74.9047
Tajikistan,Wakhi,Definitely endangered,75000,37.1603,74.9047
Afghanistan,Wakhi,Definitely endangered,75000,37.1603,74.9047
Bangladesh,Bishnupriya Manipuri Creole,Vulnerable,72899,24.297,92.4499
India,Bishnupriya Manipuri Creole,Vulnerable,72899,24.297,92.4499
Sudan,Acheron,Severely endangered,70000,10.809,30.2453
New Zealand,Maori,Vulnerable,70000,-38.4105,177.3632
Laos,Tai Neua,Vulnerable,70000,20.5166,104.3166
India,Bhadravahi,Definitely endangered,66918,33.5413,76.333
Pakistan,Bhadravahi,Definitely endangered,66918,33.5413,76.333
India,Kinnauri,Definitely endangered,65097,31.541,78.3764
Italy,Gallo-Sicilian,Definitely endangered,65000,38.0167,14.5994
Bangladesh,Kurux (Bangladesh),Vulnerable,65000,25.8196,88.9672
Guatemala,Tz'utujil,Definitely endangered,63237,14.6394,-91.2301
Guam,Chamorro,Vulnerable,62500,13.4323,144.7338
Peru,Ashaninka (Peru),Vulnerable,62468,-10.6929,-74.3444
India,Chang,Vulnerable,62000,26.2934,94.9493
Panama,Kuna (Panama),Vulnerable,61703,9.5983,-79.6334
India,Churahi,Definitely endangered,61199,33.1835,76.5747
India,Nruanghmei,Vulnerable,61000,24.9661,93.5375
India,Rengma,Vulnerable,61000,25.958,94.2462
Faroe Islands,Faroese,Vulnerable,60000,62.0112,-6.7785
China,Northern Tujia,Severely endangered,60000,28.828,109.5904
Pakistan,Torwali,Definitely endangered,60000,35.5833,72.5
Guatemala,Chuj (Guatemala),Vulnerable,59048,15.8259,-91.4783
India,Kachari,Definitely endangered,59000,25.2844,93.2189
United Kingdom of Great Britain and Northern Ireland,Scottish Gaelic,Definitely endangered,58552,58.1011,-6.7675
Mexico,Sierra de Puebla Náhuatl,Definitely endangered,57189,19.6223,-97.8149
Costa Rica,Limonese Creole,Definitely endangered,55000,9.9916,-83.0316
Poland,Kashubian,Severely endangered,53000,54.2267,18.1713
